image,reqTime,date,gallons,price_per_gallon,total_price
PXL_20240122_222128967.jpg,2024-07-26T14:54:38.992Z,2024/01/09,11.797,3.299,38.92
PXL_20240122_222144017.jpg,2024-07-26T14:54:47.128Z,2023/12/03,11.35,3.529,40.05
PXL_20240122_222156962.jpg,2024-07-26T14:54:54.986Z,2023/10/21,11.801,3.659,43.18
PXL_20240122_222207815.jpg,2024-07-26T14:55:04.230Z,2023/09/17,11.283,3.749,42.3
PXL_20240122_222221313.jpg,2024-07-26T14:55:12.400Z,2023/07/30,10.813,3.699,40
PXL_20240122_222236211.jpg,2024-07-26T14:55:23.777Z,2023/07/17,10.453,3.639,38.04
PXL_20240122_222253983.jpg,2024-07-26T14:55:30.990Z,2023/07/05,11.609,3.639,42.25
PXL_20240122_222307724.jpg,2024-07-26T14:55:39.439Z,2023/06/22,11.664,3.559,41.51
PXL_20240122_222324919.jpg,2024-07-26T14:55:47.961Z,2023/06/02,12.038,3.529,42.48
PXL_20240122_222411839.jpg,2024-07-26T14:55:55.223Z,2023/04/25,11.573,4.099,47.44
PXL_20240122_222425333.jpg,2024-07-26T14:56:04.002Z,2023/03/26,11.475,3.499,40.15
PXL_20240122_222442778.jpg,2024-07-26T14:56:11.203Z,2023/02/26,11.774,3.049,35.9
PXL_20240122_222510391.jpg,2024-07-26T14:56:19.315Z,2023/01/29,10.222,3.099,31.68
PXL_20240122_222523288.jpg,2024-07-26T14:56:29.622Z,2022/12/09,4.813,3.579,17.23
PXL_20240122_222539485.jpg,2024-07-26T14:56:37.811Z,2022/12/07,8.744,3.759,32.87
PXL_20240122_222553809.jpg,2024-07-26T14:56:44.876Z,2022/11/27,11.729,3.699,43.39
PXL_20240122_222606478.jpg,2024-07-26T14:56:52.265Z,2022/10/20,11.187,3.499,39.14
PXL_20240122_222618126.jpg,2024-07-26T14:56:59.466Z,2022/10/07,11.16,3.499,39.05
PXL_20240122_222632249.jpg,2024-07-26T14:57:12.821Z,2022/08/24,11.808,4.159,49.11
PXL_20240122_222645394.jpg,2024-07-26T14:57:20.252Z,2022/07/30,11.264,4.699,52.93
